Station ID,Station Name,Town,Region,Country,Building Condition,Service Status,Service Status Year,Lat,Lon,Station Notes,Stop Sequence,Line ID,Line Name,Year Opened,Gauge,Line Status,Line Status Year,Line Notes,Is in NP-M
625,Energia,Narva,Ida-Viru maakond,Estonia,Dismantled/Not built,Closed,2001,59.372232,28.162739,,2,41,Narva—Musta,1969,1520 mm,Dismantled,2001,Rail line between Auvere and power plant dismantled,FALSE
626,Soldina,Soldina,Ida-Viru maakond,Estonia,"Preserved, uncertain",Closed,2012,59.368733,28.059194,,3,41,Narva—Musta,1969,1520 mm,Dismantled,2001,Rail line between Auvere and power plant dismantled,FALSE
627,Auvere,Hiiemetsa,Ida-Viru maakond,Estonia,Dismantled/Not built,Closed,2013,59.363226,27.924839,,4,41,Narva—Musta,1969,1520 mm,Dismantled,2001,Rail line between Auvere and power plant dismantled,FALSE
628,Musta,Auvere,Ida-Viru maakond,Estonia,Ruined/Disused,Closed,2001,59.276781,27.905718,Part of Estonia powerplant,5,41,Narva—Musta,1969,1520 mm,Dismantled,2001,Rail line between Auvere and power plant dismantled,FALSE
629,Sonda,Sonda,Ida-Viru maakond,Estonia,Ruined/Disused,Operational,2024,59.349723,26.842596,,1,42,Sonda—Mustvee,1926,750 mm,Dismantled,1973,~2km rebuilt as a museum railway,FALSE
630,Hirmuse,Soonurme,Ida-Viru maakond,Estonia,Dismantled/Not built,Closed,1972,59.304494,26.914234,,2,42,Sonda—Mustvee,1926,750 mm,Dismantled,1973,~2km rebuilt as a museum railway,FALSE
631,Sirtsi,Sirtsi,Ida-Viru maakond,Estonia,Dismantled/Not built,Closed,1972,59.281051,26.918124,,3,42,Sonda—Mustvee,1926,750 mm,Dismantled,1973,~2km rebuilt as a museum railway,FALSE
632,Lümatu,Lümatu,Ida-Viru maakond,Estonia,Dismantled/Not built,Closed,1972,59.25465,26.906762,,4,42,Sonda—Mustvee,1926,750 mm,Dismantled,1973,~2km rebuilt as a museum railway,FALSE
633,Jõepere,Kaukvere,Lääne-Viru maakond,Estonia,Dismantled/Not built,Closed,1972,59.211658,26.916572,,5,42,Sonda—Mustvee,1926,750 mm,Dismantled,1973,~2km rebuilt as a museum railway,FALSE
634,Tudu,Tudu,Lääne-Viru maakond,Estonia,Non-railway use,Closed,1972,59.182195,26.858394,Restaurant,6,42,Sonda—Mustvee,1926,750 mm,Dismantled,1973,~2km rebuilt as a museum railway,FALSE
635,Suigu,Suigu,Lääne-Viru maakond,Estonia,Non-railway use,Closed,1972,59.141454,26.819291,,7,42,Sonda—Mustvee,1926,750 mm,Dismantled,1973,~2km rebuilt as a museum railway,FALSE
636,Peressaare,Peressaare,Ida-Viru maakond,Estonia,Ruined/Disused,Closed,1972,59.107092,26.814719,,8,42,Sonda—Mustvee,1926,750 mm,Dismantled,1973,~2km rebuilt as a museum railway,FALSE
637,Aadumäe,Peressaare,Ida-Viru maakond,Estonia,Dismantled/Not built,Closed,1972,59.084429,26.812041,,9,42,Sonda—Mustvee,1926,750 mm,Dismantled,1973,~2km rebuilt as a museum railway,FALSE
638,Lippoja,Paasvere,Lääne-Viru maakond,Estonia,Dismantled/Not built,Closed,1972,59.068454,26.810237,,10,42,Sonda—Mustvee,1926,750 mm,Dismantled,1973,~2km rebuilt as a museum railway,FALSE
639,Punasoo,Paasvere,Lääne-Viru maakond,Estonia,Dismantled/Not built,Closed,1972,59.0579,26.808971,,11,42,Sonda—Mustvee,1926,750 mm,Dismantled,1973,~2km rebuilt as a museum railway,FALSE
640,Muru,Paadenurme,Jõgeva maakond,Estonia,Dismantled/Not built,Closed,1972,59.015808,26.822777,,12,42,Sonda—Mustvee,1926,750 mm,Dismantled,1973,~2km rebuilt as a museum railway,FALSE
641,Avinurme,Avinurme,Jõgeva maakond,Estonia,Residential,Closed,1972,58.985458,26.846536,"From 2018, museum railway opened",13,42,Sonda—Mustvee,1926,750 mm,Dismantled,1973,~2km rebuilt as a museum railway,FALSE
642,Kõrve,Kõrve,Jõgeva maakond,Estonia,Dismantled/Not built,Closed,1968,58.944012,26.876756,,14,42,Sonda—Mustvee,1926,750 mm,Dismantled,1973,~2km rebuilt as a museum railway,FALSE
